#N comparison and moves for sorted, reverse sorted, average and sigma and each for random data
2 1 2 1 3 1.0 0.0 2.45 0.497493718553309 1 3 1 3 1 2 1 2 1 2 1 2 1 3 1 2 1 2 1 2 1 3 1 2 1 2 1 2 1 3 1 3 1 3 1 3 1 2 1 3
3 3 4 2 7 2.75 0.433012701892219 5.4 0.799999999999998 3 5 3 6 3 5 3 5 2 6 3 5 3 6 3 5 3 4 3 4 2 7 3 5 3 5 2 6 3 6 3 5 2 7 3 5 2 6 3 5
4 5 6 4 12 4.75 0.433012701892219 9.05 1.35922772190681 5 10 5 8 5 8 5 9 4 10 5 9 5 10 5 8 5 9 5 6 4 11 5 8 5 8 4 11 5 11 5 9 4 11 5 9 4 9 5 7
5 8 8 6 18 7.0 0.707106781186548 13.2 1.66132477258362 7 15 7 12 7 12 7 14 6 16 7 14 8 12 7 12 8 12 7 12 6 15 7 12 7 13 6 15 8 14 8 11 6 16 8 11 6 15 7 11
6 11 10 8 25 9.55 0.804673846971541 18.3 2.36854385646539 10 20 9 19 10 17 9 18 8 23 10 20 10 16 9 19 11 14 10 17 9 18 10 15 10 19 8 22 10 18 11 16 9 21 10 18 9 21 9 15
7 14 12 10 33 12.5 0.806225774829858 22.95 2.85438259523842 13 22 12 24 13 23 12 24 11 28 12 28 13 18 12 22 14 21 13 24 12 21 13 18 13 23 11 27 13 23 14 20 12 27 13 23 12 23 12 20
8 17 14 13 42 15.5 0.806225774829858 28.25 4.03577749634442 16 24 15 26 16 26 15 26 14 36 15 35 16 26 15 27 17 23 16 27 15 26 16 23 16 32 14 34 16 32 17 25 15 34 16 28 15 30 15 25
9 21 16 16 52 18.6 0.799999999999991 34.95 4.94444132334481 19 33 19 28 19 30 18 35 17 46 18 40 19 31 18 37 20 30 19 31 18 33 19 33 19 39 17 44 19 38 20 32 18 38 19 37 18 37 19 27
10 25 18 19 63 22.2 0.871779788708162 41.6 5.57135531087362 22 37 23 35 22 41 22 37 20 55 21 50 23 38 22 44 23 36 23 39 22 36 22 43 23 41 21 51 23 46 23 41 22 46 23 39 21 43 23 34
11 29 20 22 75 25.65 1.01365674663574 48.9 6.43350604258672 25 49 26 39 26 44 25 44 23 66 25 53 27 44 25 48 26 48 27 42 25 47 26 48 26 52 24 63 27 55 26 45 26 52 27 45 25 48 26 46
12 33 22 25 88 29.3 1.05356537528528 56.65 6.56715311227019 28 56 30 51 30 56 29 47 26 76 29 62 31 55 29 56 30 54 30 55 29 49 30 50 30 63 28 65 30 65 29 55 30 54 30 58 29 53 29 53
13 37 24 28 102 32.95 1.07121426428134 64.55 7.51315512950453 32 60 33 59 34 59 32 55 30 85 32 73 35 67 33 68 33 62 33 69 33 52 34 57 34 66 32 70 34 71 33 62 33 62 34 71 33 56 32 67
14 41 26 31 117 36.75 1.08972473588517 72.0 8.27042925125411 35 68 37 66 37 67 36 68 34 97 36 77 39 76 37 81 36 70 37 71 37 57 38 63 38 77 36 76 37 79 37 66 37 65 38 76 37 67 36 73
15 45 28 34 133 40.7 1.09999999999991 81.2 8.66371744691616 39 73 40 82 41 76 40 82 38 106 40 83 43 88 41 86 40 82 41 77 41 72 42 66 42 86 40 81 41 92 41 73 41 71 42 86 41 76 40 86
16 49 30 38 150 44.7 1.09999999999991 91.25 10.3338037527331 43 80 44 99 45 90 44 92 42 120 44 89 47 92 45 102 44 97 45 87 45 76 46 76 46 90 44 90 45 100 45 85 45 77 46 100 45 85 44 98
17 54 32 42 168 48.85 1.2359207094307 101.9 14.1134687444299 47 91 48 108 49 104 48 100 46 138 48 94 51 110 49 111 48 108 49 95 50 78 51 79 50 101 48 106 49 118 49 100 50 80 50 113 49 91 48 113
18 59 34 46 187 53.05 1.39552857369536 114.8 15.3088209866077 51 109 52 123 54 115 52 106 50 156 53 105 56 122 53 130 52 123 53 113 55 80 55 98 54 115 52 119 53 122 53 107 54 93 54 121 53 110 52 129
19 64 36 50 207 57.35 1.58981130955851 128.25 17.0554243570777 55 127 56 141 58 126 57 119 54 172 57 120 61 130 57 140 57 130 57 128 60 87 59 112 58 132 56 138 57 138 57 123 59 101 58 137 58 118 56 146
20 69 38 54 228 61.6 1.5620499351812 139.75 18.0966157057058 59 132 60 151 62 131 61 129 59 185 61 129 65 141 61 144 61 146 62 135 64 103 63 118 63 149 60 153 61 154 62 140 63 116 63 150 62 123 60 166
21 74 40 58 250 66.1 1.81383571472195 150.45 19.2444147741625 64 137 64 155 67 145 65 145 63 200 65 140 70 146 66 146 65 167 66 147 69 117 67 129 68 157 64 170 65 176 67 146 68 118 68 159 66 140 65 169
22 79 42 62 273 70.6 1.56204993518178 163.8 19.0015788817666 68 152 69 174 71 149 69 149 68 206 70 159 74 168 70 161 70 180 71 153 73 138 71 141 72 164 69 183 70 196 72 163 72 130 72 171 71 154 70 185
