#N comparison and moves for sorted, reverse sorted, average and sigma and each for random data
2 1 0 1 3 1.0 0.0 1.35 1.49248115565993 1 3 1 3 1 0 1 0 1 0 1 0 1 3 1 0 1 0 1 0 1 3 1 0 1 0 1 0 1 3 1 3 1 3 1 3 1 0 1 3
3 3 0 3 9 3.0 0.0 4.2 2.4 3 3 3 6 3 3 3 3 3 6 3 3 3 6 3 3 3 0 3 0 3 9 3 3 3 3 3 6 3 6 3 3 3 9 3 3 3 6 3 3
4 6 0 6 18 6.0 0.0 9.15 4.07768316572045 6 12 6 6 6 6 6 9 6 12 6 9 6 12 6 6 6 9 6 0 6 15 6 6 6 6 6 15 6 15 6 9 6 15 6 9 6 9 6 3
5 10 0 10 30 10.0 0.0 15.6 4.98397431775085 10 21 10 12 10 12 10 18 10 24 10 18 10 12 10 12 10 12 10 12 10 21 10 12 10 15 10 21 10 18 10 9 10 24 10 9 10 21 10 9
6 15 0 15 45 15.0 0.0 24.9 7.10563156939622 15 30 15 27 15 21 15 24 15 39 15 30 15 18 15 27 15 12 15 21 15 24 15 15 15 27 15 36 15 24 15 18 15 33 15 24 15 33 15 15
7 21 0 21 63 21.0 0.0 32.85 8.56314778571524 21 30 21 36 21 33 21 36 21 48 21 48 21 18 21 30 21 27 21 36 21 27 21 18 21 33 21 45 21 33 21 24 21 45 21 33 21 33 21 24
8 28 0 28 84 28.0 0.0 42.75 12.1073324890333 28 30 28 36 28 36 28 36 28 66 28 63 28 36 28 39 28 27 28 39 28 36 28 27 28 54 28 60 28 54 28 33 28 60 28 42 28 48 28 33
9 36 0 36 108 36.0 0.0 56.85 14.8333239700345 36 51 36 36 36 42 36 57 36 90 36 72 36 45 36 63 36 42 36 45 36 51 36 51 36 69 36 84 36 66 36 48 36 66 36 63 36 63 36 33
10 45 0 45 135 45.0 0.0 70.8 16.714065932621 45 57 45 51 45 69 45 57 45 111 45 96 45 60 45 78 45 54 45 63 45 54 45 75 45 69 45 99 45 84 45 69 45 84 45 63 45 75 45 48
11 55 0 55 165 55.0 0.0 86.7 19.3005181277602 55 87 55 57 55 72 55 72 55 138 55 99 55 72 55 84 55 84 55 66 55 81 55 84 55 96 55 129 55 105 55 75 55 96 55 75 55 84 55 78
12 66 0 66 198 66.0 0.0 103.95 19.7014593368105 66 102 66 87 66 102 66 75 66 162 66 120 66 99 66 102 66 96 66 99 66 81 66 84 66 123 66 129 66 129 66 99 66 96 66 108 66 93 66 93
13 78 0 78 234 78.0 0.0 121.65 22.5394653885135 78 108 78 105 78 105 78 93 78 183 78 147 78 129 78 132 78 114 78 135 78 84 78 99 78 126 78 138 78 141 78 114 78 114 78 141 78 96 78 129
14 91 0 91 273 91.0 0.0 138.0 24.8112877537624 91 126 91 120 91 123 91 126 91 213 91 153 91 150 91 165 91 132 91 135 91 93 91 111 91 153 91 150 91 159 91 120 91 117 91 150 91 123 91 141
15 105 0 105 315 105.0 0.0 159.6 25.9911523407486 105 135 105 162 105 144 105 162 105 234 105 165 105 180 105 174 105 162 105 147 105 132 105 114 105 174 105 159 105 192 105 135 105 129 105 174 105 144 105 174
16 120 0 120 360 120.0 0.0 183.75 31.0014112581992 120 150 120 207 120 180 120 186 120 270 120 177 120 186 120 216 120 201 120 171 120 138 120 138 120 180 120 180 120 210 120 165 120 141 120 210 120 165 120 204
17 136 0 136 408 136.0 0.0 209.7 42.3404062332898 136 177 136 228 136 216 136 204 136 318 136 186 136 234 136 237 136 228 136 189 136 138 136 141 136 207 136 222 136 258 136 204 136 144 136 243 136 177 136 243
18 153 0 153 459 153.0 0.0 242.4 45.926462959823 153 225 153 267 153 243 153 216 153 366 153 213 153 264 153 288 153 267 153 237 153 138 153 192 153 243 153 255 153 264 153 219 153 177 153 261 153 228 153 285
19 171 0 171 513 171.0 0.0 276.75 51.1662730712332 171 273 171 315 171 270 171 249 171 408 171 252 171 282 171 312 171 282 171 276 171 153 171 228 171 288 171 306 171 306 171 261 171 195 171 303 171 246 171 330
20 190 0 190 570 190.0 0.0 305.25 54.2898471171176 190 282 190 339 190 279 190 273 190 441 190 273 190 309 190 318 190 324 190 291 190 195 190 240 190 333 190 345 190 348 190 306 190 234 190 336 190 255 190 384
21 210 0 210 630 210.0 0.0 331.35 57.7332443224871 210 291 210 345 210 315 210 315 210 480 210 300 210 318 210 318 210 381 210 321 210 231 210 267 210 351 210 390 210 408 210 318 210 234 210 357 210 300 210 387
22 231 0 231 693 231.0 0.0 365.4 57.0047366453002 231 330 231 396 231 321 231 321 231 492 231 351 231 378 231 357 231 414 231 333 231 288 231 297 231 366 231 423 231 462 231 363 231 264 231 387 231 336 231 429
23 253 0 253 759 253.0 0.0 404.7 54.8015510729395 253 357 253 453 253 381 253 387 253 525 253 378 253 402 253 378 253 453 253 375 253 324 253 360 253 384 253 468 253 462 253 378 253 306 253 453 253 387 253 483
24 276 0 276 828 276.0 0.0 444.6 49.546341943679 276 417 276 489 276 384 276 405 276 543 276 435 276 462 276 414 276 522 276 429 276 366 276 414 276 417 276 504 276 501 276 447 276 375 276 456 276 411 276 501
25 300 0 300 900 300.0 0.0 475.8 56.120049893064 300 468 300 501 300 387 300 414 300 612 300 456 300 498 300 465 300 537 300 480 300 387 300 441 300 444 300 555 300 531 300 480 300 396 300 489 300 465 300 510
26 325 0 325 975 325.0 0.0 516.0 62.151427980377 325 537 325 564 325 429 325 459 325 666 325 528 325 516 325 531 325 570 325 516 325 405 325 441 325 495 325 600 325 570 325 519 325 450 325 492 325 468 325 564
27 351 0 351 1053 351.0 0.0 554.7 57.845570271197 351 612 351 615 351 465 351 516 351 669 351 582 351 528 351 546 351 588 351 546 351 447 351 501 351 567 351 633 351 603 351 537 351 495 351 549 351 486 351 609
28 378 0 378 1134 378.0 0.0 595.35 69.4321791390703 378 681 378 633 378 471 378 552 378 696 378 639 378 564 378 600 378 609 378 549 378 462 378 516 378 621 378 690 378 678 378 618 378 549 378 588 378 519 378 672
29 406 0 406 1218 406.0 0.0 628.95 70.1081129399441 406 726 406 639 406 510 406 558 406 735 406 651 406 645 406 642 406 642 406 555 406 495 406 537 406 639 406 708 406 708 406 618 406 603 406 642 406 594 406 732
30 435 0 435 1305 435.0 0.0 677.7 70.5472182300619 435 753 435 699 435 567 435 630 435 738 435 699 435 687 435 723 435 729 435 594 435 555 435 600 435 663 435 783 435 792 435 627 435 618 435 708 435 624 435 765
31 465 0 465 1395 465.0 0.0 719.55 57.403375336299 465 774 465 708 465 657 465 711 465 750 465 708 465 756 465 771 465 804 465 642 465 618 465 633 465 708 465 789 465 798 465 699 465 690 465 765 465 642 465 768
32 496 0 496 1488 496.0 0.0 772.8 58.337466520239 496 849 496 765 496 687 496 774 496 786 496 798 496 807 496 828 496 846 496 672 496 705 496 705 496 753 496 804 496 864 496 768 496 717 496 807 496 687 496 834
33 528 0 528 1584 528.0 0.0 823.8 68.010734446851 528 945 528 804 528 723 528 813 528 810 528 879 528 897 528 840 528 867 528 681 528 756 528 744 528 822 528 852 528 900 528 855 528 735 528 870 528 783 528 900
34 561 0 561 1683 561.0 0.0 871.35 83.4058001580224 561 1023 561 891 561 750 561 852 561 876 561 936 561 951 561 852 561 930 561 705 561 765 561 774 561 843 561 939 561 924 561 885 561 753 561 930 561 867 561 981
35 595 0 595 1785 595.0 0.0 918.6 82.1726231782822 595 1086 595 960 595 846 595 867 595 891 595 999 595 993 595 879 595 1029 595 798 595 765 595 825 595 897 595 1032 595 933 595 906 595 852 595 930 595 894 595 990
36 630 0 630 1890 630.0 0.0 961.65 76.0751437724577 630 1104 630 1044 630 873 630 888 630 981 630 999 630 1020 630 975 630 1059 630 873 630 831 630 840 630 975 630 1059 630 978 630 918 630 903 630 954 630 930 630 1029
37 666 0 666 1998 666.0 0.0 1017.9 90.8019272923219 666 1203 666 1065 666 954 666 948 666 1086 666 1017 666 1053 666 1077 666 1119 666 954 666 831 666 855 666 975 666 1149 666 1005 666 978 666 1008 666 1053 666 936 666 1092
38 703 0 703 2109 703.0 0.0 1069.95 96.4595640670212 703 1254 703 1113 703 1005 703 1020 703 1095 703 1044 703 1074 703 1116 703 1179 703 1032 703 837 703 873 703 1056 703 1188 703 1077 703 1089 703 1098 703 1074 703 993 703 1182
39 741 0 741 2223 741.0 0.0 1119.0 102.1410789056 741 1257 741 1140 741 1038 741 1104 741 1143 741 1071 741 1161 741 1128 741 1254 741 1101 741 861 741 933 741 1062 741 1266 741 1092 741 1167 741 1167 741 1185 741 1017 741 1233
40 780 0 780 2340 780.0 0.0 1164.75 109.924007841782 780 1335 780 1170 780 1041 780 1113 780 1173 780 1113 780 1269 780 1212 780 1287 780 1170 780 915 780 948 780 1062 780 1317 780 1155 780 1185 780 1182 780 1275 780 1128 780 1245
41 820 0 820 2460 820.0 0.0 1229.4 124.359318106846 820 1440 820 1176 820 1119 820 1170 820 1239 820 1200 820 1347 820 1215 820 1398 820 1272 820 1002 820 972 820 1068 820 1395 820 1230 820 1266 820 1269 820 1365 820 1158 820 1287
42 861 0 861 2583 861.0 0.0 1272.45 116.503851867652 861 1443 861 1209 861 1188 861 1215 861 1329 861 1260 861 1461 861 1221 861 1482 861 1278 861 1062 861 1092 861 1086 861 1401 861 1302 861 1266 861 1278 861 1368 861 1212 861 1296
43 903 0 903 2709 903.0 0.0 1337.7 132.142763706531 903 1512 903 1302 903 1191 903 1296 903 1446 903 1332 903 1479 903 1230 903 1569 903 1365 903 1095 903 1101 903 1131 903 1491 903 1425 903 1350 903 1329 903 1368 903 1323 903 1419
