#N comparison and moves for sorted, reverse sorted, average and sigma and each for random data
2 1 0 1 3 1.0 0.0 1.35 1.49248115565993 1 3 1 3 1 0 1 0 1 0 1 0 1 3 1 0 1 0 1 0 1 3 1 0 1 0 1 0 1 3 1 3 1 3 1 3 1 0 1 3
3 2 0 3 9 2.6 0.489897948556635 4.2 2.4 3 3 3 6 2 3 2 3 3 6 2 3 3 6 2 3 2 0 2 0 3 9 2 3 2 3 3 6 3 6 3 3 3 9 3 3 3 6 3 3
4 3 0 6 18 4.95 0.920597631976099 9.15 4.07768316572045 5 12 5 6 4 6 4 9 6 12 4 9 6 12 4 6 5 9 3 0 6 15 4 6 4 6 6 15 6 15 5 9 6 15 5 9 6 9 5 3
5 4 0 10 30 8.2 1.32664991614216 15.6 4.98397431775085 10 21 8 12 7 12 7 18 10 24 7 18 8 12 7 12 9 12 7 12 10 21 7 12 7 15 10 21 9 18 7 9 10 24 7 9 10 21 7 9
6 5 0 15 45 12.3 1.70587221092319 24.9 7.10563156939622 15 30 12 27 10 21 11 24 15 39 11 30 11 18 12 27 11 12 13 21 14 24 10 15 11 27 15 36 12 24 11 18 15 33 11 24 14 33 12 15
7 6 0 21 63 16.7 2.10000000000001 32.85 8.56314778571524 17 30 16 36 14 33 16 36 20 48 18 48 13 18 16 30 16 27 20 36 18 27 13 18 16 33 20 45 15 33 17 24 20 45 17 33 16 33 16 24
8 7 0 28 84 21.8 3.34065861769801 42.75 12.1073324890333 19 30 18 36 18 36 18 36 28 66 24 63 19 36 20 39 18 27 24 39 22 36 16 27 24 54 27 60 25 54 23 33 26 60 23 42 23 48 21 33
9 8 0 36 108 27.95 4.17702046918614 56.85 14.8333239700345 25 51 20 36 22 42 24 57 36 90 31 72 27 45 29 63 25 42 28 45 27 51 24 51 30 69 35 84 30 66 28 48 32 66 31 63 32 63 23 33
10 9 0 45 135 34.5 5.24880938880428 70.8 16.714065932621 33 57 25 51 29 69 26 57 44 111 41 96 33 60 37 78 34 54 34 63 31 54 35 75 32 69 43 99 36 84 35 69 39 84 33 63 42 75 28 48
11 10 0 55 165 42.2 5.87877538267962 86.7 19.3005181277602 46 87 33 57 33 72 34 72 53 138 45 99 39 72 43 84 48 84 38 66 39 81 41 84 41 96 51 129 45 105 41 75 46 96 40 75 52 84 36 78
12 11 0 66 198 50.7 5.95063021872472 103.95 19.7014593368105 52 102 49 87 47 102 40 75 65 162 53 120 48 99 51 102 56 96 51 99 41 81 43 84 55 123 53 129 55 129 49 99 48 96 53 108 60 93 45 93
13 12 0 78 234 58.8 7.05407683541937 121.65 22.5394653885135 58 108 56 105 51 105 50 93 77 183 62 147 61 129 63 132 64 114 60 135 43 84 50 99 59 126 59 138 64 141 56 114 55 114 66 141 64 96 58 129
14 13 0 91 273 67.6 8.29698740507668 138.0 24.8112877537624 68 126 65 120 57 123 60 126 89 213 70 153 71 150 78 165 73 132 62 135 51 93 59 111 71 153 67 150 73 159 62 120 61 117 76 150 72 123 67 141
15 14 0 105 315 77.85 9.7225253920985 159.6 25.9911523407486 74 135 81 162 69 144 76 162 102 234 76 165 85 180 88 174 86 162 70 147 59 132 63 114 83 174 75 159 85 192 70 135 67 129 84 174 83 144 81 174
16 15 0 120 360 90.9 10.5494075663043 183.75 31.0014112581992 84 150 101 207 89 180 88 186 116 270 88 177 91 186 104 216 96 201 88 171 73 138 72 138 91 180 91 180 97 210 82 165 75 141 103 210 94 165 95 204
17 16 0 136 408 102.3 13.7298943914365 209.7 42.3404062332898 96 177 113 228 103 216 100 204 131 318 94 186 107 234 117 237 110 228 98 189 75 138 76 141 104 207 103 222 112 258 96 204 79 144 116 243 104 177 112 243
18 17 0 153 459 115.35 15.1995888102277 242.4 45.926462959823 106 225 133 267 119 243 110 216 146 366 106 213 120 264 129 288 124 267 117 237 77 138 92 192 120 243 113 255 118 264 108 219 95 177 129 261 117 228 128 285
19 18 0 171 513 130.05 16.5875706479279 276.75 51.1662730712332 126 273 145 315 131 270 122 249 161 408 120 252 132 282 141 312 136 282 137 276 83 153 112 228 142 288 136 306 131 306 122 261 105 195 147 303 127 246 145 330
20 19 0 190 570 144.25 18.1297407593159 305.25 54.2898471171176 134 282 158 339 139 279 134 273 178 441 138 273 147 309 147 318 156 324 147 291 95 195 124 240 161 333 149 345 145 348 145 306 120 234 165 336 135 255 168 384
21 20 0 210 630 157.2 18.7632619765329 331.35 57.7332443224871 142 291 164 345 155 315 147 315 194 480 148 300 155 318 149 318 171 381 167 321 116 231 136 267 175 351 172 390 164 408 155 318 122 234 183 357 157 300 172 387
22 21 0 231 693 172.25 19.1124959123605 365.4 57.0047366453002 155 330 186 396 161 321 153 321 204 492 161 351 179 378 164 357 186 414 177 333 140 288 152 297 189 366 191 423 184 462 169 363 133 264 197 387 170 336 194 429
23 22 0 253 759 190.05 19.2833477383984 404.7 54.8015510729395 169 357 212 453 182 381 176 387 221 525 182 378 193 402 180 378 207 453 193 375 166 324 180 360 201 384 211 468 186 462 179 378 146 306 218 453 183 387 216 483
24 23 0 276 828 206.75 16.8608273818339 444.6 49.546341943679 193 417 227 489 186 384 186 405 233 543 209 435 216 462 195 414 226 522 209 429 190 366 199 414 215 417 229 504 203 501 195 447 175 375 222 456 197 411 230 501
25 24 0 300 900 223.1 18.4983783073004 475.8 56.120049893064 218 468 237 501 190 387 192 414 253 612 223 456 231 498 219 465 238 537 229 480 202 387 215 441 233 444 254 555 227 531 215 480 189 396 238 489 219 465 240 510
26 25 0 325 975 241.7 19.654770413312 516.0 62.151427980377 244 537 263 564 206 429 216 459 275 666 242 528 245 516 247 531 256 570 247 516 221 405 217 441 255 495 275 600 249 570 235 519 214 450 242 492 223 468 262 564
27 26 0 351 1053 261.2 20.4440700448811 554.7 57.845570271197 279 612 288 615 221 465 231 516 279 669 269 582 255 528 263 546 268 588 265 546 241 447 249 501 276 567 296 633 274 603 251 537 232 495 264 549 237 486 286 609
28 27 0 378 1134 278.7 23.0588377851098 595.35 69.4321791390703 304 681 302 633 231 471 249 552 293 696 285 639 271 564 284 600 280 609 269 549 253 462 261 516 294 621 320 690 302 678 273 618 255 549 287 588 251 519 310 672
