#N comparison and moves for sorted, reverse sorted, average and sigma and each for random data
2 1 3 2 4 1.45 0.49749371855331 3.45 0.497493718553309 2 4 2 4 1 3 1 3 1 3 1 3 2 4 1 3 1 3 1 3 2 4 1 3 1 3 1 3 2 4 2 4 2 4 2 4 1 3 2 4
3 2 6 5 9 3.4 0.8 7.4 0.799999999999996 3 7 4 8 3 7 3 7 4 8 3 7 4 8 3 7 2 6 2 6 5 9 3 7 3 7 4 8 4 8 3 7 5 9 3 7 4 8 3 7
4 3 9 9 15 6.05 1.35922772190682 12.05 1.35922772190682 7 13 5 11 5 11 6 12 7 13 6 12 7 13 5 11 6 12 3 9 8 14 5 11 5 11 8 14 8 14 6 12 8 14 6 12 6 12 4 10
5 4 12 14 22 9.2 1.66132477258362 17.2 1.66132477258363 11 19 8 16 8 16 10 18 12 20 10 18 8 16 8 16 8 16 8 16 11 19 8 16 9 17 11 19 10 18 7 15 12 20 7 15 11 19 7 15
6 5 15 20 30 13.3 2.3685438564654 23.3 2.36854385646541 15 25 14 24 12 22 13 23 18 28 15 25 11 21 14 24 9 19 12 22 13 23 10 20 14 24 17 27 13 23 11 21 16 26 13 23 16 26 10 20
7 6 18 27 39 16.95 2.85438259523842 28.95 2.85438259523842 16 28 18 30 17 29 18 30 22 34 22 34 12 24 16 28 15 27 18 30 15 27 12 24 17 29 21 33 17 29 14 26 21 33 17 29 17 29 14 26
8 7 21 35 49 21.25 4.03577749634442 35.25 4.0357774963444 17 31 19 33 19 33 19 33 29 43 28 42 19 33 20 34 16 30 20 34 19 33 16 30 25 39 27 41 25 39 18 32 27 41 21 35 23 37 18 32
9 8 24 44 60 26.95 4.94444132334483 42.95 4.94444132334481 25 41 20 36 22 38 27 43 38 54 32 48 23 39 29 45 22 38 23 39 25 41 25 41 31 47 36 52 30 46 24 40 30 46 29 45 29 45 19 35
10 9 27 54 72 32.6 5.57135531087364 50.6 5.57135531087364 28 46 26 44 32 50 28 46 46 64 41 59 29 47 35 53 27 45 30 48 27 45 34 52 32 50 42 60 37 55 32 50 37 55 30 48 34 52 25 43
11 10 30 65 85 38.9 6.43350604258674 58.9 6.43350604258672 39 59 29 49 34 54 34 54 56 76 43 63 34 54 38 58 38 58 32 52 37 57 38 58 42 62 53 73 45 65 35 55 42 62 35 55 38 58 36 56
12 11 33 77 99 45.65 6.56715311227023 67.65 6.56715311227009 45 67 40 62 45 67 36 58 65 87 51 73 44 66 45 67 43 65 44 66 38 60 39 61 52 74 54 76 54 76 44 66 43 65 47 69 42 64 42 64
